trace,s,E,b,hits,misses,evictions,hit_rate,miss_rate
traces/long.trace,2,3,3,258278,28686,28674,0.9000362414797675,0.09996375852023251
traces/long.trace,2,3,4,266475,20489,20477,0.9286008001003611,0.07139919989963898
traces/long.trace,2,3,5,268525,18439,18427,0.9357445533237618,0.06425544667623813
traces/long.trace,2,3,6,268531,18433,18421,0.9357654618697816,0.06423453813021843
traces/long.trace,2,4,2,250081,36883,36867,0.871471682859174,0.12852831714082602
traces/long.trace,2,4,3,262374,24590,24574,0.9143098088958894,0.08569019110411062
traces/long.trace,2,4,4,266475,20489,20473,0.9286008001003611,0.07139919989963898
traces/long.trace,2,4,5,268525,18439,18423,0.9357445533237618,0.06425544667623813
traces/long.trace,2,4,6,268915,18049,18033,0.937103608815043,0.062896391184957
traces/long.trace,2,5,2,253153,33811,33791,0.8821768584212654,0.11782314157873461
traces/long.trace,2,5,3,262374,24590,24570,0.9143098088958894,0.08569019110411062
traces/long.trace,2,5,4,266475,20489,20469,0.9286008001003611,0.07139919989963898
traces/long.trace,2,5,5,268525,18439,18419,0.9357445533237618,0.06425544667623813
traces/long.trace,2,5,6,269299,17665,17645,0.9384417557603044,0.061558244239695574
traces/long.trace,2,6,2,253153,33811,33787,0.8821768584212654,0.11782314157873461
traces/long.trace,2,6,3,262374,24590,24566,0.9143098088958894,0.08569019110411062
traces/long.trace,2,6,4,266475,20489,20465,0.9286008001003611,0.07139919989963898
traces/long.trace,2,6,5,268525,18439,18415,0.9357445533237618,0.06425544667623813
traces/long.trace,2,6,6,269299,17665,17641,0.9384417557603044,0.061558244239695574
traces/long.trace,2,7,2,253153,33811,33783,0.8821768584212654,0.11782314157873461
traces/long.trace,2,7,3,262374,24590,24562,0.9143098088958894,0.08569019110411062
traces/long.trace,2,7,4,266475,20489,20461,0.9286008001003611,0.07139919989963898
traces/long.trace,2,7,5,268525,18439,18411,0.9357445533237618,0.06425544667623813
traces/long.trace,2,7,6,269299,17665,17637,0.9384417557603044,0.061558244239695574
traces/long.trace,2,8,2,253153,33811,33779,0.8821768584212654,0.11782314157873461
traces/long.trace,2,8,3,262374,24590,24558,0.9143098088958894,0.08569019110411062
traces/long.trace,2,8,4,268011,18953,18921,0.9339533878814067,0.06604661211859328
traces/long.trace,2,8,5,273133,13831,13799,0.951802316666899,0.04819768333310102
traces/long.trace,2,8,6,273928,13036,13004,0.9545726990145106,0.04542730098548947
traces/long.trace,3,1,2,167137,119827,119819,0.5824319426827058,0.41756805731729413
traces/long.trace,3,1,3,232935,54029,54021,0.8117220278501833,0.1882779721498167
traces/long.trace,3,1,4,249387,37577,37569,0.8690532610362275,0.13094673896377246
traces/long.trace,3,1,5,255917,31047,31039,0.8918087286210117,0.1081912713789883
traces/long.trace,3,1,6,255927,31037,31029,0.8918435761977113,0.10815642380228879
traces/long.trace,3,2,2,235489,51475,51459,0.8206220989392398,0.17937790106076024
traces/long.trace,3,2,3,260070,26894,26878,0.9062809272243209,0.09371907277567917
traces/long.trace,3,2,4,265131,21833,21817,0.923917285791946,0.07608271420805397
traces/long.trace,3,2,5,267565,19399,19383,0.9323991859606083,0.06760081403939171
traces/long.trace,3,2,6,267571,19393,19377,0.932420094506628,0.06757990549337199
traces/long.trace,3,3,2,252641,34323,34299,0.8803926624942502,0.11960733750574985
traces/long.trace,3,3,3,262374,24590,24566,0.9143098088958894,0.08569019110411062
traces/long.trace,3,3,4,266475,20489,20465,0.9286008001003611,0.07139919989963898
traces/long.trace,3,3,5,268525,18439,18415,0.9357445533237618,0.06425544667623813
traces/long.trace,3,3,6,268531,18433,18409,0.9357654618697816,0.06423453813021843
traces/long.trace,3,4,2,253665,33299,33267,0.8839610543482807,0.11603894565171938
traces/long.trace,3,4,3,262374,24590,24558,0.9143098088958894,0.08569019110411062
traces/long.trace,3,4,4,266475,20489,20457,0.9286008001003611,0.07139919989963898
traces/long.trace,3,4,5,268525,18439,18407,0.9357445533237618,0.06425544667623813
traces/long.trace,3,4,6,269203,17761,17729,0.9381072190239891,0.061892780976010926
traces/long.trace,3,5,2,253665,33299,33259,0.8839610543482807,0.11603894565171938
traces/long.trace,3,5,3,262374,24590,24550,0.9143098088958894,0.08569019110411062
traces/long.trace,3,5,4,266475,20489,20449,0.9286008001003611,0.07139919989963898
traces/long.trace,3,5,5,268525,18439,18399,0.9357445533237618,0.06425544667623813
traces/long.trace,3,5,6,269427,17537,17497,0.9388878047420582,0.06111219525794176
traces/long.trace,3,6,2,253665,33299,33251,0.8839610543482807,0.11603894565171938
traces/long.trace,3,6,3,262374,24590,24542,0.9143098088958894,0.08569019110411062
traces/long.trace,3,6,4,266475,20489,20441,0.9286008001003611,0.07139919989963898
traces/long.trace,3,6,5,268525,18439,18391,0.9357445533237618,0.06425544667623813
traces/long.trace,3,6,6,269427,17537,17489,0.9388878047420582,0.06111219525794176
traces/long.trace,3,7,2,253665,33299,33243,0.8839610543482807,0.11603894565171938
traces/long.trace,3,7,3,262374,24590,24534,0.9143098088958894,0.08569019110411062
traces/long.trace,3,7,4,266475,20489,20433,0.9286008001003611,0.07139919989963898
traces/long.trace,3,7,5,268525,18439,18383,0.9357445533237618,0.06425544667623813
traces/long.trace,3,7,6,269427,17537,17481,0.9388878047420582,0.06111219525794176
traces/long.trace,3,8,2,253665,33299,33235,0.8839610543482807,0.11603894565171938
traces/long.trace,3,8,3,263398,23566,23502,0.9178782007499199,0.08212179925008015
traces/long.trace,3,8,4,272235,14729,14665,0.9486730042792825,0.05132699572071758
traces/long.trace,3,8,5,276589,10375,10311,0.9638456391742518,0.036154360825748175
traces/long.trace,3,8,6,277512,9452,9388,0.9670620705036171,0.03293792949638282
traces/long.trace,4,1,2,236129,50835,50819,0.8228523438480088,0.17714765615199118
traces/long.trace,4,1,3,247078,39886,39870,0.8610069555763092,0.1389930444236908
traces/long.trace,4,1,4,257595,29369,29353,0.8976561519911905,0.10234384800880947
traces/long.trace,4,1,5,261981,24983,24967,0.9129402991315984,0.08705970086840162
traces/long.trace,4,1,6,261979,24985,24969,0.9129333296162585,0.08706667038374151
traces/long.trace,4,2,2,253409,33555,33523,0.883068956384773,0.11693104361522699
traces/long.trace,4,2,3,261798,25166,25134,0.9123025884779973,0.08769741152200276
traces/long.trace,4,2,4,266139,20825,20793,0.9274299215232573,0.07257007847674272
traces/long.trace,4,2,5,268285,18679,18647,0.9349082114829734,0.06509178851702653
traces/long.trace,4,2,6,269087,17877,17845,0.9377029871342747,0.06229701286572532
traces/long.trace,4,3,2,253921,33043,32995,0.8848531523117883,0.11514684768821176
traces/long.trace,4,3,3,262374,24590,24542,0.9143098088958894,0.08569019110411062
traces/long.trace,4,3,4,266475,20489,20441,0.9286008001003611,0.07139919989963898
traces/long.trace,4,3,5,268525,18439,18391,0.9357445533237618,0.06425544667623813
traces/long.trace,4,3,6,269427,17537,17489,0.9388878047420582,0.06111219525794176
traces/long.trace,4,4,2,253921,33043,32979,0.8848531523117883,0.11514684768821176
traces/long.trace,4,4,3,262374,24590,24526,0.9143098088958894,0.08569019110411062
traces/long.trace,4,4,4,266475,20489,20425,0.9286008001003611,0.07139919989963898
traces/long.trace,4,4,5,268525,18439,18375,0.9357445533237618,0.06425544667623813
traces/long.trace,4,4,6,278896,8068,8004,0.9718849751188302,0.028115024881169765
traces/long.trace,4,5,2,253921,33043,32963,0.8848531523117883,0.11514684768821176
traces/long.trace,4,5,3,262374,24590,24510,0.9143098088958894,0.08569019110411062
traces/long.trace,4,5,4,266475,20489,20409,0.9286008001003611,0.07139919989963898
traces/long.trace,4,5,5,268525,18439,18359,0.9357445533237618,0.06425544667623813
traces/long.trace,4,5,6,281534,5430,5350,0.9810777658521627,0.01892223414783736
traces/long.trace,4,6,2,253921,33043,32947,0.8848531523117883,0.11514684768821176
traces/long.trace,4,6,3,262374,24590,24494,0.9143098088958894,0.08569019110411062
